Sno,year,make,model,trim,body,transmission,condition,odometer,color,interior,seller,sellingprice,vehicle_type,oil_filter,engine_oil,washer_plug_drain,dust_and_pollen_filter,whell_alignment_and_balancing,air_clean_filter,fuel_filter,spark_plug,brake_fluid,brake_and_clutch_oil,transmission_fluid,brake_pads,clutch,coolant
1,2015,Kia,Sorento,LX,SUV,automatic,5,16639,white,black,"kia motors america, inc",21500,car,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2,2015,Kia,Sorento,LX,SUV,automatic,5,9393,white,beige,"kia motors america, inc",21500,car,1,1,0,0,1,0,0,0,0,0,0,0,0,0
3,2014,BMW,3 Series,328i SULEV,Sedan,automatic,4.5,1331,gray,black,financial services remarketing (lease),30000,car,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,2015,Volvo,S60,T5,Sedan,automatic,4.1,14282,white,black,volvo na rep/world omni,27750,car,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5,2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,4.3,2641,gray,black,financial services remarketing (lease),67000,car,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,2015,Nissan,Altima,2.5 S,Sedan,automatic,1,5554,gray,black,enterprise vehicle exchange / tra / rental / tulsa,10900,car,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,2014,BMW,M5,Base,Sedan,automatic,3.4,14943,black,black,the hertz corporation,65000,car,1,1,0,0,1,0,0,0,0,0,0,0,0,0
8,2014,Chevrolet,Cruze,1LT,Sedan,automatic,2,28617,black,black,enterprise vehicle exchange / tra / rental / tulsa,9800,car,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,Audi,A4,2.0T Premium Plus quattro,Sedan,automatic,4.2,9557,white,black,audi mission viejo,32250,car,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,2014,Chevrolet,Camaro,LT,Convertible,automatic,3,4809,red,black,d/m auto sales inc,17500,car,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,Audi,A6,3.0T Prestige quattro,Sedan,automatic,4.8,14414,black,black,desert auto trade,49750,car,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,2015,Kia,Optima,LX,Sedan,automatic,4.8,2034,red,tan,kia motors finance,17700,car,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,2015,Ford,Fusion,SE,Sedan,automatic,2,5559,white,beige,enterprise vehicle exchange / tra / rental / tulsa,12000,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
14,2015,Kia,Sorento,LX,SUV,automatic,5,14634,silver,black,"kia motors america, inc",21500,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
15,2014,Chevrolet,Cruze,2LT,Sedan,automatic,,15686,blue,black,avis rac/san leandro,10600,car,1,1,1,0,1,0,0,0,0,0,0,0,0,0
16,2015,Nissan,Altima,2.5 S,Sedan,automatic,2,11398,black,black,enterprise vehicle exchange / tra / rental / tulsa,14100,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
17,2015,Hyundai,Sonata,SE,Sedan,,,8311,red,—,avis tra,4200,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
18,2014,Audi,Q5,2.0T Premium Plus quattro,SUV,automatic,4.9,7983,white,black,audi north scottsdale,40000,car,1,1,1,0,1,0,0,0,0,0,0,0,0,0
19,2014,Chevrolet,Camaro,LS,Coupe,automatic,1.7,13441,black,black,wells fargo dealer services,17000,car,1,1,1,0,1,0,0,0,0,0,0,0,0,0
20,2014,BMW,6 Series,650i,Convertible,automatic,3.4,8819,black,black,the hertz corporation,67200,car,1,1,1,0,1,0,0,0,0,0,0,0,0,0
21,2015,Chevrolet,Impala,LTZ,Sedan,automatic,1.9,14538,silver,black,enterprise vehicle exchange / tra / rental / tulsa,7200,car,1,1,1,1,0,0,0,0,0,0,0,0,0,0
22,2014,BMW,5 Series,528i,Sedan,automatic,2.9,25969,black,black,financial services remarketing (lease),30000,car,1,1,1,1,0,0,0,0,0,0,0,0,0,0
23,2014,Chevrolet,Camaro,LT,Convertible,automatic,,33450,black,black,avis rac/san leandro,14700,car,1,1,1,1,0,0,0,0,0,0,0,0,0,0
24,2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,4.9,5826,gray,black,audi north scottsdale,23750,car,1,1,1,1,0,0,0,0,0,0,0,0,0,0
25,2014,BMW,6 Series,650i,Convertible,automatic,3.8,10736,black,black,the hertz corporation,65000,car,1,1,1,1,0,0,0,0,0,0,0,0,0,0
26,2015,Hyundai,Sonata,SE,Sedan,automatic,,9281,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,8500,car,1,1,1,1,0,0,0,0,0,0,0,0,0,0
27,2015,Volvo,XC70,T6,Wagon,automatic,4.2,16506,brown,brown,volvo na rep/world omni,32500,car,1,1,1,1,0,0,0,0,0,0,0,0,0,0
28,2015,Volvo,XC70,T6,Wagon,automatic,4.8,12725,beige,beige,volvo na rep/world omni,32500,car,1,1,1,1,0,0,0,0,0,0,0,0,0,0
29,2014,BMW,X5,sDrive35i,SUV,automatic,,11278,gray,black,avis rac/san leandro,34000,car,1,1,1,1,0,0,0,0,0,0,0,0,0,0
30,2014,Chevrolet,Camaro,LT,Coupe,automatic,4.2,11874,gray,black,midway hfc fleet/ars,19500,car,1,1,1,1,0,0,0,0,0,0,0,0,0,0
31,2014,Chevrolet,Cruze,1LT,Sedan,automatic,4.2,37888,gray,black,enterprise vehicle exchange/orange,11500,car,1,1,1,1,0,0,0,0,0,0,0,0,0,0
32,2014,Audi,SQ5,3.0T Premium Plus quattro,SUV,automatic,4.2,9606,white,black,audi of downtown l a,47500,car,1,1,1,1,1,0,0,0,0,0,0,0,0,0
33,2015,Kia,Sorento,LX,SUV,automatic,5,13757,red,black,"kia motors america, inc",20750,car,1,1,1,1,1,0,0,0,0,0,0,0,0,0
34,2014,Audi,S5,Premium Plus quattro,Coupe,automatic,3.8,5875,black,black,fratelli investment group,44500,car,1,1,1,1,1,0,0,0,0,0,0,0,0,0
35,2015,Kia,Sorento,LX,SUV,automatic,4.4,12862,gray,black,"kia motors america, inc",21000,car,1,1,1,1,1,0,0,0,0,0,0,0,0,0
36,2014,Buick,Verano,Convenience Group,Sedan,,2,19531,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,9200,car,1,1,1,1,0,1,0,0,0,0,0,0,0,0
37,2015,Chevrolet,Suburban,LTZ,SUV,automatic,4.5,11426,black,black,midway hfc fleet/ars,59900,car,1,1,1,1,0,1,0,0,0,0,0,0,0,0
38,2014,BMW,3 Series,328i SULEV,Sedan,automatic,5,111,black,—,financial services remarketing (lease),30500,car,1,1,1,1,1,1,0,0,0,0,0,0,0,0
39,2014,BMW,M5,Base,Sedan,automatic,3.8,16360,black,black,the hertz corporation,64250,car,1,1,1,1,0,1,0,0,0,0,0,0,0,0
40,2014,BMW,3 Series,328i SULEV,Sedan,automatic,4.5,9027,white,black,financial services remarketing (lease),27500,car,1,1,1,1,0,1,0,0,0,0,0,0,0,0
41,2014,Cadillac,ELR,Base,Coupe,automatic,4.7,4436,gray,black,rogue cu,44000,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
42,2015,Hyundai,Sonata,SE,Sedan,automatic,,9208,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,10000,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
43,2014,BMW,6 Series,650i,Convertible,automatic,3.2,13205,white,black,the hertz corporation,65000,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
44,2015,Volvo,V60,T5,Wagon,automatic,4.1,11846,white,beige,volvo na rep/world omni,30000,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
45,2014,Chevrolet,Cruze,1LT,Sedan,,,38261,white,—,avis tra,2000,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
46,2014,BMW,X6,xDrive35i,SUV,automatic,4,379,white,black,financial services remarketing (lease),51700,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
47,2015,Volvo,V60,T5,Wagon,automatic,4.2,12242,black,gray,volvo na rep/world omni,30000,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
48,2014,Chevrolet,Cruze,2LT,Sedan,automatic,3.4,40661,silver,black,avis corporation,13000,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
49,2014,Acura,ILX,Technology Package,Sedan,automatic,2.5,9051,gray,black,american honda motor company,21250,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
50,2015,Kia,Sorento,LX,SUV,automatic,5,13878,silver,black,"kia motors america, inc",20750,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
51,2015,Volvo,V60,T5,Wagon,automatic,3.7,10906,silver,black,volvo na rep/world omni,30000,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
52,2015,Nissan,Altima,2.5 S,Sedan,automatic,,10678,gray,black,enterprise vehicle exchange / tra / rental / tulsa,11600,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
53,2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,4.2,7305,white,black,the hertz corporation,66100,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
54,2015,Nissan,Altima,2.5 S,Sedan,automatic,1,4314,black,black,enterprise vehicle exchange / tra / rental / tulsa,11500,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
55,2015,Kia,K900,Luxury,Sedan,automatic,4.2,5304,blue,black,"kia motors america, inc",40000,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
56,2015,Kia,Sorento,LX,SUV,automatic,4.8,10357,silver,gray,"kia motors america, inc",20500,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
57,2015,Chevrolet,Malibu,LT,Sedan,automatic,1,6105,silver,black,enterprise vehicle exchange / tra / rental / tulsa,9800,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
58,2015,Lexus,RX 350,Base,SUV,automatic,4.3,7770,white,black,lexus financial services,38400,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
59,2015,Kia,Sorento,LX,SUV,automatic,5,5214,white,black,kia motors finance,19300,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
60,2014,BMW,M5,Base,Sedan,automatic,4.7,7766,gray,black,fratelli investment group,77250,car,1,1,1,0,0,0,0,0,0,0,0,0,0,0
61,2015,Kia,K900,Luxury,Sedan,automatic,4.4,9684,white,gray,"kia motors america, inc",41000,car,1,1,1,1,0,0,0,1,0,0,0,0,0,1
62,2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,2,31,white,black,enterprise vehicle exchange / tra / rental / tulsa,17300,car,1,1,1,1,0,0,0,1,0,0,0,0,0,1
63,2015,Nissan,Versa,1.6 SL,Sedan,manual,3.9,1608,purple,black,nissan-infiniti lt,11000,car,1,1,1,1,0,0,0,1,0,0,0,0,0,1
64,2014,Chevrolet,Camaro,LT,Coupe,automatic,3.1,9914,black,black,midway hfc fleet/ars,20600,car,1,1,1,1,0,0,0,1,0,0,0,0,0,1
65,2015,Hyundai,Elantra,SE,Sedan,automatic,1,7879,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,10500,car,1,1,1,1,0,0,0,1,0,0,0,0,0,1
